1000,64,66.97,1697,60
1500,64,130,13000,60
2000,64,195.7,14560,60
2500,64,220,22000,60
3000,64,248.18,19818,91.47
3500,64,250,25000,80
4000,64,254.42,20442,72.5
4500,64,264,26400,65
5000,64,274.74,22474,60
5500,64,270,27000,60
6000,64,260.53,22053,60
6500,64,270,27000,60
7000,64,274.01,22401,60
7500,64,278,27800,60
8000,64,282.76,23276,60
8500,64,287,28700,70
9000,64,292.29,24229,74.25
1000,128,60.58,1058,88.65
2000,128,187.15,13715,60
3000,128,250.41,20041,87.4
4000,128,260.38,21038,91.18
5000,128,267.37,21737,60
6000,128,276.39,22639,60
7000,128,285.38,23538,60
8000,128,293.69,24369,60
9000,128,301.59,25159,60
1000,256,66.44,1644,72.78
2000,256,194.34,14434,89.25
3000,256,250.55,20055,87.4
4000,256,264.22,21422,60
5000,256,272.29,22229,60
6000,256,283.24,23324,60
7000,256,293.78,24378,60
8000,256,301.15,25115,60
9000,256,313.27,26327,60
1000,512,65.55,1555,60
2000,512,186.82,13682,91.22
3000,512,260.26,21026,60
4000,512,271.76,22176,60
5000,512,281.15,23115,93.28
6000,512,293.87,24387,94.32
7000,512,307.76,25776,95.57
8000,512,315.48,26548,60
9000,512,326.58,27658,60
1000,1024,68.03,1803,60
2000,1024,199.77,14977,60
3000,1024,266.91,21691,60
4000,1024,283.46,23346,93.52
5000,1024,299.98,24998,93.08
6000,1024,309,25900,60
7000,1024,323.85,27385,60
8000,1024,339,28900,97.97
9000,1024,345.41,29541,60